公司名称,关闭时间,成立时间,产品简介,行业,地点,获投状态,存活天数,logo,行业标签,关闭原因
巢客公寓,2020-09-01,2018-10-01,巢客公寓是一家以“为住客提供高品质居住生活”为目标的服务平台，致力于用互联网的方式改变传统住房租赁模式，满足都市年轻白领多元化的居住需求。,房产服务,浙江,尚未获投,701,https://cdn.itjuzi.com/images/e41a535243201e858e98f44e01070daa.png,房产服务、消费升级、租赁平台、住、精致生活,现金流断裂、行业竞争、疫情影响
友客公寓,2020-08-28,2019-06-01,友客公寓是一家公寓托管一站式公司，公寓从宾客初踏入新城的一刻开始便提供贴心服务。,房产服务,浙江,尚未获投,454,https://cdn.itjuzi.com/images/1e3a75e6a4bdaaae05993bf703b6ce08.png,房产服务、长租公寓、公寓、房产租赁,融资能力不足、行业竞争、疫情影响
杯欢制茶,2020-08-22,2017-06-01,杯欢制茶是一个新式茶饮品牌。店里有故事贩卖机，在你等茶的时候可以领走一个故事，你按下店里邮筒上的按钮，就能随机拿到一个陌生人的故事，主打的概念是“情绪”，通过产品研发、文案打造、海报呈现，让一杯奶茶包含了复杂的情绪。,本地生活,北京,尚未获投,1178,https://cdn.itjuzi.com/images/5e2b8eb18daa563cc29d7abef92d42ef.jpg,本地生活、酒水饮料、生活服务、茶饮、食品饮料、奶茶、茶水饮料,团队能力不足、定价/成本问题、疫情影响
茅台电商,2020-08-17,2014-06-01,茅台电商是茅台集团控股子公司，是茅台集团唯一的官方线上营运商。目前主营业务是通过官方线上销售茅台集团旗下酒类产品。公司致力于以“做好茅台服务型营销、承载中国酒文化传播”为使命，以搭建综合性营销服务平台为基础，通过优质服务和文化宣导培育具有“强粘性”的酒友群体。,电子商务,贵州,尚未获投,2269,https://cdn.itjuzi.com/images/d8ccc9636f5fe8748dd884299b7ec87c.png,垂直电商、电子商务、其他电商服务、酒水饮料,业务调整
人人优品,2020-08-11,2015-04-01,人人优品是一个跨境电商平台，产品包括护理美妆，家居日用，服装鞋帽，水果零食、名酒名茶等品类。此外，还设立全球购、国家馆等特色频道，目前，支持在线支付或者货到付款。,电子商务,广东,A轮,1959,https://cdn.itjuzi.com/images/8e2c74c929b4855a9cd622a028f9f872.png,社交电商、腾讯系、美业、电子商务、综合电商、社交网络、网上购物平台,创始人问题、与投资人冲突、行业竞争
店铺秀秀,2020-08-07,2013-04-01,店铺秀秀是一个专为实体卖家服务的手机应用，帮助商家创建手机店铺。隶属于成都咕咕舍网络科技有限公司。,电子商务,四川,尚未获投,2685,https://cdn.itjuzi.com/images/9897624016e685bbab355b19fd765a7f.jpg,垂直电商、零售商超、O2O、电子商务、3C电子、消费电子、电商经营模式、零售/新零售,营销不足、行业竞争
埃果科技,2020-08-06,2017-11-01,埃果科技（aigodata），是一家专注可视化的数据分析公司，为客户提供从数据采集、分析到可视化展示的完整解决方案。,企业服务,北京,尚未获投,1009,https://cdn.itjuzi.com/images/65dd39f1418bf5477a6f9ecbaa5d146a.png,数据服务、企业服务、行业解决方案、数据采集、数据可视化、大数据技术、大数据服务,烧钱、融资能力不足、行业竞争
isichao,2020-08-05,2014-06-01,isichao是一个专注品牌网站建设、APP 设计、网页设计、HTML5设计的公司，为客户提供产品应用、数据分析、系统集成、运维服务等四大业务领域的IT整体解决方案，隶属于武汉市爱思潮互联网科技有限公司。,企业服务,湖北,尚未获投,2257,https://cdn.itjuzi.com/images/441b710f9075ab8669499556f86eb18b.png,企业IT服务、企业服务、IT运维、行业信息化及解决方案、数据分析、大数据技术、大数据服务,烧钱、行业竞争
精准分众网络,2020-08-03,2012-03-01,精准分众是国内首家微信公众号行业解决方案及微营销提供商。一直专注移动互联网行业解决方案，为企业提供APP定制、微信营销、数据分析、社会化营销服务。,广告营销,广东,不明确,3077,https://cdn.itjuzi.com/images/1442830560logo.png,社会化营销、微信营销、微博营销、广告营销、整合营销传播、精准营销、数字营销、网络营销、营销手段、整合营销、自媒体营销、内容营销,融资能力不足、营销不足
玉玲珑,2020-07-31,2012-04-01,玉玲珑是一家专业从事和田玉（昆仑玉、罗甸玉）的开采、设计、加工、销售及玉文化推广为一体的综合型珠宝企业。在青海拥有向阳沟玉石矿和小灶火玉石矿开采权，以及在贵州拥有2个罗甸玉石矿开采权。公司海量原料库存，可大量提供原料、半成品和成品。,电子商务,广东,不明确,3043,https://cdn.itjuzi.com/images/6fe07e3c570350cbd15e3a112ee480be.png,垂直电商、O2O、电子商务、珠宝首饰、生产制造、销售、电商经营模式,烧钱、行业竞争
艾特之家,2020-07-30,2015-03-01,北京艾特之家科技有限公司是一个以务实的产品文化为基础驱动的公司，先后开发了杰出PM、茅庐舍、海淘居、萌娃宝贝等平台产品。,企业服务,北京,不明确,1978,https://cdn.itjuzi.com/images/d9e08342f12f150f4feafab6b0ac7683.jpg,开发者服务、企业服务、B2D开发者服务、开发商,烧钱、现金流断裂
满钻网,2020-07-30,2013-11-01,满钻网是一家从事钻石以及其它首饰买卖的电子商务平。平台致力于通过移动互联网技术改造珠宝行业，让每个女人都有“私人定制项目。平台目前的主要业务是线上平台的优化以及线下渠道的拓展。隶属于峰华珠宝行（北京）有限公司。,电子商务,北京,天使轮,2463,https://cdn.itjuzi.com/images/1712e4057b4e69fcc2e8b104e3fb42e3.png,垂直电商、独立品牌、买手、电子商务、珠宝首饰、电商媒体及社区、女装、跨境电商、服装定制/搭配服务、定制电商,烧钱、行业竞争
网商园,2020-07-30,2014-02-01,网商园是一个O2O电商平台，专注于男装、女装、包包等服装类商品的销售，支持在线支付，提供送货上门服务，隶属于杭州云商网络科技有限公司。,电子商务,浙江,尚未获投,2371,https://cdn.itjuzi.com/images/80ff0800e48d930a11eb7c912197dfde.png,垂直电商、O2O、B2B、平台、上门到家服务、支付、电子商务、服装服饰、女装、箱包、男装、电商经营模式、服装B2B、穿,融资能力不足、行业竞争
ofo小黄车,2020-07-29,2014-12-01,ofo 小黄车是全球领先的无桩共享单车出行平台。用户只需在ofo官方app、支付宝小程序、微信服务号和微信小程序输入车牌号或扫码，即可解锁用车，随取随用，随时随地。,汽车交通,北京,战略投资,2067,https://cdn.itjuzi.com/images/92216476890000e08fa39ff29d17b923.png,租车、共享经济、骑行、自行车、汽车交通、交通出行、出行工具、车载及出行、车载硬件、共享单车、出行、共享出行、连续获投、出行服务、行,创始人问题、烧钱、现金流断裂、行业竞争
拍藏CamArt,2020-07-29,2015-02-01,CAMART拍藏旨在为专业藏家和广大艺术爱好者建立全新的艺术品发现、分享和管理的平台，让更多的人分享艺术灵感，创造艺术生活方式。,文娱传媒,北京,天使轮,2005,https://cdn.itjuzi.com/images/f876a7d001ff5c92388c29a5065a96af.png,C2C、拍卖、艺术、文化娱乐、生活美学、艺术品、艺术平台,商业模式匮乏、行业竞争
北鼻网,2020-07-27,2013-03-01,北鼻网是主打“妈咪买手”概念的母婴产品导购平台，利用数据分析、产品实验等方式，为妈妈和宝宝们推荐和导购商品。,电子商务,浙江,不明确,2705,https://cdn.itjuzi.com/images/archive/200.png,团购、垂直电商、导购、母婴、电子商务、母婴玩具、跨境电商、电商经营模式,营销不足
ScaleFactor,2020-07-24,2013-01-01,ScaleFactor是一家销售会计和工资管理SaaS服务提供商，该公司创建了一个软件服务，收集和分析来自销售点系统、银行账户、信用卡和计费系统的数据，从而实现记录保存和工资单功能的自动化。,企业服务,北美洲,C轮,2761,https://cdn.itjuzi.com/images/7936ae80e75ecc8457038c3523ae3bf4.png,SAAS、企业服务、财务税务、企业管理,产品缺陷严重、烧钱、现金流断裂、疫情影响
聚游堂,2020-07-23,2014-09-01,聚游堂是一家从事游戏及应用分发平台的公司，旗下产品有广告插件、游戏和应用分发平台等，与国内各大手机厂商、运营商、知名手游厂商深度合作。,游戏,浙江,不明确,2152,https://cdn.itjuzi.com/images/41f7c4fc428008f4c963a9a32dfbab49.png,游戏开发商、平台、游戏、手机游戏、游戏插件、游戏/电竞、游戏广告营销,烧钱、行业竞争
易建永拓,2020-07-23,2013-08-01,易建永拓是一家考前教育培训企业，主要从事“注册消防工程师”考前辅导，致力于服务消防行业人员，提供“注册消防工程师”考前培训面授，旗下产品主要有易消防app。,教育,北京,尚未获投,2548,https://cdn.itjuzi.com/images/39707576bc09d91cd8f3752b67d76db4.png,教育、职业教育、企业培训、在线学习、在线教育平台、职业资格人才、泛教育,烧钱、融资能力不足、行业竞争
新乐筹,2020-07-22,2014-09-01,新乐筹是一个互联网个性生活类众筹服务平台，在低门槛、多样性的众筹产品中，依靠大众的力量来实现新概念、创意或梦想，在梦想的支持者和发起者之间架起一座桥梁。平台隶属于北京新石投资管理有限责任公司。,金融,北京,A轮,2151,https://cdn.itjuzi.com/images/10f236fdba3f01d8224c2686a822b590.png,Fintech金融科技、众筹、商品众筹、金融,融资能力不足
朋泊停车,2020-07-21,2015-10-01,朋泊停车是一个停车标准化运营平台，专注于面向停车场提供企业SaaS服务，通过朋泊智慧停车管理系统为停车场提供线上停车运营管理服务，对停车场对各项实时数据进行分析、监控管理，提高车位运营效率，让停车场真正实现数据化、透明化以及无漏洞管理，通过对数据的分析计算，可分时、按需提供合理的收费定价，并实现增收减支，同时通过平台为车主提供线上的停车全场景服务，通过向停车场每个月按车位收取运营服务费。,汽车交通,北京,尚未获投,1755,https://cdn.itjuzi.com/images/a90f9fd2cefadcffefe3b9dce4def66b.jpg,云计算、SAAS、停车、汽车交通、汽车后服务、车主服务、企业服务、云服务、停车服务、行业垂直型SaaS、汽车SaaS、汽车后市场、行,烧钱、融资能力不足
领孚科技,2020-07-21,2015-11-01,领孚科技是一家致力于依托公司原有的治理经验，利用互联网的技术手段为上市公司、大中型企业、新兴行业公司提供安全便捷的线上公司治理技术的科技公司，实现客户公司线上办公系统安全高效。,企业服务,上海,尚未获投,1724,https://cdn.itjuzi.com/images/9fe48c9e24db0fb96d0be603c5991c4a.png,移动办公、解决方案、智能电网、性能管理、企业服务、办公OA、服务器、开发商、企业通用服务,现金流断裂、行业竞争
昴宿科技,2020-07-20,2017-12-01,昴宿科技是基于人工智能算法的整合营销服务商，具备国际顶尖的机器学习技术，能够对数据进行精准预测与挖掘，为广告主提供更为高效的营销服务。,智能硬件,天津,尚未获投,962,https://cdn.itjuzi.com/images/f44250ee2e37667f80d29fa5fef3a27f.png,人工智能、机器学习、机器人技术、新基建,烧钱、融资能力不足、行业竞争
霸屏天下,2020-07-17,2018-01-01,"霸屏天下是一家创新朋友圈租赁平台，是集广告传媒、互联网金融等多元化的创新型传媒平台，它打破了传统广告商业模式，以互联网思维融合共享经济模式，为广告商入驻打好坚实基础，让微信朋友圈变成广告分发渠道，真正的把朋友圈社交关系，变成了展示产品及服务的平台。
",广告营销,山东,A轮,928,https://cdn.itjuzi.com/images/56995a907ffbbcba711e9ffe5bdb47bf.png,展示广告、传统广告,烧钱、融资能力不足、行业竞争
诚合时代,2020-07-17,2016-03-01,诚合时代是一家互联网虚拟商品电子商务领域的领先的服务提供商，业务范围涵盖话费、流量、游戏、加油卡等充值业务及各类生活缴费业务。,电子商务,北京,不明确,1599,https://cdn.itjuzi.com/images/51718f087697e410f03089a2e1fda4e4.png,垂直电商、虚拟商品、流量、电子商务、数字虚拟商品、数字/虚拟商品,烧钱、行业竞争
红人装,2020-07-16,2014-03-01,红人装是一款服装导购社交APP平台，由潮人分享穿衣搭配方法，运用视频、文字等多媒体方式为用户挑选适合的服装，隶属于深圳市信人创意设计有限公司。,社交网络,广东,尚未获投,2329,https://cdn.itjuzi.com/images/6bd413a6863ac79e6233e78f6a1255bd.png,潮人、APP、平台、视频社交、多媒体、兴趣社区、消费升级、社交网络、穿衣搭配、社交、社区论坛、兴趣社交、社交周边服务、视频社区,融资能力不足
谷奈木,2020-07-16,2013-11-01,谷奈木是一家致力于提供WEB与APP的交互原型、界面设计与技术开发的外包服务型企业，同时提供建站及线上营销策划服务等。,企业服务,浙江,尚未获投,2449,https://cdn.itjuzi.com/images/55278ced69bd8d8136fcfea2ebd95715.png,企业IT服务、外包、APP、建站、企业服务、营销推广、销售与营销,业务过于分散、烧钱、融资能力不足
FoxOne,2020-07-15,2018-05-01,FoxOne是一款数字资产 App，融合了交易所、钱包、行情、资讯，用简单的页面交互，呈现浩瀚的区块链海洋，无需掌握复杂的技术，便能如鱼得水。无论你是行业专家，投资者，还是一名新手，Fox.ONE 都将成为你通往财务自由之路的好帮手。,金融,浙江,尚未获投,806,https://cdn.itjuzi.com/images/8ed17b10008e8146eb63764fd0e253f0.png,金融、理财、金融机构、交易所,烧钱、融资能力不足、行业竞争
